,model 1,model 2,model 3,model 4,model 5,acc,mcc,tp,tn,fp,fn,auroc,auprc
278,weight_decay-0.005,default,dropout-0.05,warmup_ratio-0.05,learning_rate-4e-05,0.9062821833161689,0.812541539545229,4455,4345,459,451,0.9689733178595226,0.9684355032227177
231,weight_decay-0.005,train_batch_size-32,dropout-0.05,dropout-0.2,weight_decay-0.02,0.9062821833161689,0.8125483563483958,4467,4333,471,439,0.9691311349456375,0.9685429996493755
247,weight_decay-0.005,train_batch_size-32,dropout-0.2,weight_decay-0.02,warmup_ratio-0.05,0.9061791967044284,0.8123404052297055,4465,4334,470,441,0.9692386516807403,0.9686720888940463
237,weight_decay-0.005,train_batch_size-32,dropout-0.05,weight_decay-0.02,warmup_ratio-0.05,0.9061791967044284,0.8123404052297055,4465,4334,470,441,0.9692386516807403,0.9686720888940463
457,dropout-0.2,weight_decay-0.02,learning_rate-1e-05,warmup_ratio-0.05,train_batch_size-8,0.9061791967044284,0.812339286714217,4464,4335,469,442,0.9689503846332703,0.9683672510420834
31,warmup_ratio-0.2,weight_decay-0.005,default,dropout-0.05,warmup_ratio-0.05,0.9061791967044284,0.8123374634942735,4462,4337,467,444,0.9687950921113775,0.9682486081693159
36,warmup_ratio-0.2,weight_decay-0.005,default,dropout-0.2,warmup_ratio-0.05,0.9061791967044284,0.8123374634942735,4462,4337,467,444,0.9687950921113775,0.9682486081693159
452,dropout-0.05,weight_decay-0.02,learning_rate-1e-05,warmup_ratio-0.05,train_batch_size-8,0.9061791967044284,0.812339286714217,4464,4335,469,442,0.9689503846332703,0.9683672510420834
51,warmup_ratio-0.2,weight_decay-0.005,dropout-0.05,dropout-0.2,warmup_ratio-0.05,0.9061791967044284,0.8123374634942735,4462,4337,467,444,0.9687950921113775,0.9682486081693159
242,weight_decay-0.005,train_batch_size-32,dropout-0.05,learning_rate-1e-05,train_batch_size-8,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9692553053186757,0.9686801850654643
443,dropout-0.05,dropout-0.2,weight_decay-0.02,learning_rate-1e-05,train_batch_size-8,0.9061791967044284,0.8123416616902935,4466,4333,471,440,0.9688421041644533,0.9682432219966275
252,weight_decay-0.005,train_batch_size-32,dropout-0.2,learning_rate-1e-05,train_batch_size-8,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9692553053186757,0.9686801850654643
227,weight_decay-0.005,train_batch_size-32,default,learning_rate-1e-05,train_batch_size-8,0.9061791967044284,0.8123367587782142,4461,4338,466,445,0.9692553053186757,0.9686801850654643
224,weight_decay-0.005,train_batch_size-32,default,weight_decay-0.02,train_batch_size-8,0.9061791967044284,0.8123383061377087,4463,4336,468,443,0.9691457943899854,0.9685261749280798
437,default,weight_decay-0.02,learning_rate-1e-05,warmup_ratio-0.05,train_batch_size-8,0.9061791967044284,0.812339286714217,4464,4335,469,442,0.9689503846332703,0.9683672510420834
239,weight_decay-0.005,train_batch_size-32,dropout-0.05,weight_decay-0.02,train_batch_size-8,0.9061791967044284,0.8123383061377087,4463,4336,468,443,0.9691457943899854,0.9685261749280798
222,weight_decay-0.005,train_batch_size-32,default,weight_decay-0.02,warmup_ratio-0.05,0.9061791967044284,0.8123404052297055,4465,4334,470,441,0.9692386516807403,0.9686720888940463
428,default,dropout-0.2,weight_decay-0.02,learning_rate-1e-05,train_batch_size-8,0.9061791967044284,0.8123416616902935,4466,4333,471,440,0.9688421041644533,0.9682432219966275
418,default,dropout-0.05,weight_decay-0.02,learning_rate-1e-05,train_batch_size-8,0.9061791967044284,0.8123416616902935,4466,4333,471,440,0.9688421041644533,0.9682432219966275
249,weight_decay-0.005,train_batch_size-32,dropout-0.2,weight_decay-0.02,train_batch_size-8,0.9061791967044284,0.8123383061377087,4463,4336,468,443,0.9691457943899854,0.9685261749280798
213,weight_decay-0.005,train_batch_size-32,default,dropout-0.05,warmup_ratio-0.05,0.9060762100926879,0.8121338168653687,4464,4334,470,442,0.9692452707062637,0.9686940948820222
233,weight_decay-0.005,train_batch_size-32,dropout-0.05,dropout-0.2,warmup_ratio-0.05,0.9060762100926879,0.8121338168653687,4464,4334,470,442,0.9692452707062637,0.9686940948820222
28,warmup_ratio-0.2,weight_decay-0.005,default,dropout-0.05,dropout-0.2,0.9060762100926879,0.8121327686839168,4463,4335,469,443,0.968651404098976,0.9680900916934319
218,weight_decay-0.005,train_batch_size-32,default,dropout-0.2,warmup_ratio-0.05,0.9060762100926879,0.8121338168653687,4464,4334,470,442,0.9692452707062637,0.9686940948820222
40,warmup_ratio-0.2,weight_decay-0.005,default,weight_decay-0.02,warmup_ratio-0.05,0.9060762100926879,0.8121310860182284,4461,4337,467,445,0.9687916340948379,0.9682196121828778
65,warmup_ratio-0.2,weight_decay-0.005,dropout-0.2,weight_decay-0.02,warmup_ratio-0.05,0.9060762100926879,0.8121310860182284,4461,4337,467,445,0.9687916340948379,0.9682196121828778
55,warmup_ratio-0.2,weight_decay-0.005,dropout-0.05,weight_decay-0.02,warmup_ratio-0.05,0.9060762100926879,0.8121310860182284,4461,4337,467,445,0.9687916340948379,0.9682196121828778
176,warmup_ratio-0.2,dropout-0.05,dropout-0.2,weight_decay-0.02,warmup_ratio-0.05,0.9059732234809474,0.8119262864751617,4462,4335,469,444,0.9687892792492192,0.9682242615587113
423,default,dropout-0.05,learning_rate-1e-05,warmup_ratio-0.05,train_batch_size-8,0.9059732234809474,0.8119247442908947,4460,4337,467,446,0.9689638136177454,0.9684049528663436
277,weight_decay-0.005,default,dropout-0.05,learning_rate-1e-05,train_batch_size-8,0.9059732234809474,0.811928380111978,4464,4333,471,442,0.9688584183651823,0.9682798798539837
146,warmup_ratio-0.2,default,dropout-0.05,weight_decay-0.02,warmup_ratio-0.05,0.9059732234809474,0.8119262864751617,4462,4335,469,444,0.9687892792492192,0.9682242615587113
433,default,dropout-0.2,learning_rate-1e-05,warmup_ratio-0.05,train_batch_size-8,0.9059732234809474,0.8119247442908947,4460,4337,467,446,0.9689638136177454,0.9684049528663436
287,weight_decay-0.005,default,dropout-0.2,learning_rate-1e-05,train_batch_size-8,0.9059732234809474,0.811928380111978,4464,4333,471,442,0.9688584183651823,0.9682798798539837
156,warmup_ratio-0.2,default,dropout-0.2,weight_decay-0.02,warmup_ratio-0.05,0.9059732234809474,0.8119262864751617,4462,4335,469,444,0.9687892792492192,0.9682242615587113
307,weight_decay-0.005,dropout-0.05,dropout-0.2,learning_rate-1e-05,train_batch_size-8,0.9059732234809474,0.811928380111978,4464,4333,471,442,0.9688584183651823,0.9682798798539837
448,dropout-0.05,dropout-0.2,learning_rate-1e-05,warmup_ratio-0.05,train_batch_size-8,0.9059732234809474,0.8119247442908947,4460,4337,467,446,0.9689638136177454,0.9684049528663436
352,train_batch_size-32,default,dropout-0.2,weight_decay-0.02,warmup_ratio-0.05,0.905870236869207,0.8117217931376837,4463,4333,471,443,0.9692393093403276,0.9686696111505179
342,train_batch_size-32,default,dropout-0.05,weight_decay-0.02,warmup_ratio-0.05,0.905870236869207,0.8117217931376837,4463,4333,471,443,0.9692393093403276,0.9686696111505179
338,train_batch_size-32,default,dropout-0.05,dropout-0.2,warmup_ratio-0.05,0.905870236869207,0.8117198400609743,4461,4335,469,445,0.9692180096556308,0.9686643788804717
372,train_batch_size-32,dropout-0.05,dropout-0.2,weight_decay-0.02,warmup_ratio-0.05,0.905870236869207,0.8117217931376837,4463,4333,471,443,0.9692393093403276,0.9686696111505179
140,warmup_ratio-0.2,default,dropout-0.05,dropout-0.2,weight_decay-0.02,0.905870236869207,0.8117198400609743,4461,4335,469,445,0.9686391843595481,0.9680534391359226
49,warmup_ratio-0.2,weight_decay-0.005,dropout-0.05,dropout-0.2,weight_decay-0.02,0.905664263645726,0.8113070545084632,4459,4335,469,447,0.968668333529641,0.9680872930657247
34,warmup_ratio-0.2,weight_decay-0.005,default,dropout-0.2,weight_decay-0.02,0.905664263645726,0.8113070545084632,4459,4335,469,447,0.968668333529641,0.9680872930657247
29,warmup_ratio-0.2,weight_decay-0.005,default,dropout-0.05,weight_decay-0.02,0.905664263645726,0.8113070545084632,4459,4335,469,447,0.968668333529641,0.9680872930657247
