,model 1,model 2,model 3,acc,mcc,tp,tn,fp,fn,auroc,auprc
885,no-easy,curriculum-strict,only-corrects,0.9049,0.809727558450563,4636,4413,493,458,0.9676083114816101,0.9683687592394353
784,smiley-reconstruction,curriculum-strict,baseline,0.9048,0.8095340169559188,4641,4407,499,453,0.9674788657303036,0.9684806205345667
832,smiley-reconstruction,larger-batches-larger-learning-rate,curriculum-strict-shuffled,0.9048,0.8095248337264849,4628,4420,486,466,0.9678025801439261,0.9689001503591291
786,smiley-reconstruction,curriculum-strict,drop-duplicates,0.9048,0.8095340169559188,4641,4407,499,453,0.9674788657303036,0.9684806205345667
802,smiley-reconstruction,baseline,curriculum-strict-shuffled,0.9048,0.8095257716879797,4633,4415,491,461,0.9676067109159061,0.9686972924262951
886,no-easy,curriculum-strict,curriculum-reordered,0.9048,0.8095373757267861,4643,4405,501,451,0.967768408066147,0.9687156466896584
1298,curriculum-strict-shuffled,hardest-appended,curriculum-reordered,0.9048,0.8095562817414332,4607,4441,465,487,0.9680494273896166,0.9693339411109934
1296,curriculum-strict-shuffled,hardest-appended,curriculum-reordered-shuffled,0.9048,0.809528965971509,4621,4427,479,473,0.9681226932847146,0.969412886862654
444,easiest-interleaved,baseline,curriculum-reordered-shuffled,0.9048,0.8095829417530004,4659,4389,517,435,0.9680559897090028,0.9691771704521442
967,curriculum-strict,baseline,drop-duplicates,0.9048,0.8095619582055094,4653,4395,511,441,0.967428547945986,0.9683518419443906
823,smiley-reconstruction,drop-duplicates,curriculum-strict-shuffled,0.9048,0.8095257716879797,4633,4415,491,461,0.9676067109159061,0.9686972924262951
909,no-easy,easiest-appended,curriculum-reordered,0.9048,0.80952789072975,4636,4412,494,458,0.9677195908121766,0.9686402081664938
1096,baseline,hardest-appended,curriculum-reordered-shuffled,0.9048,0.809545650743549,4647,4401,505,447,0.9683692204172643,0.9696213736711254
1316,hardest-appended,curriculum-reordered-shuffled,smaller-batches-smaller-learning-rate,0.9048,0.8095250351320494,4627,4421,485,467,0.9678575195617138,0.9691420432008169
1283,mispredictions-interleaved,hardest-appended,curriculum-reordered,0.9048,0.8095394492226369,4614,4434,472,480,0.9681796334096324,0.9694690558703833
672,corrects-interleaved,no-easy,curriculum-strict-shuffled,0.9048,0.8095326812308542,4618,4430,476,476,0.9678429544138081,0.9687793623635461
1078,baseline,mispredictions-appended,curriculum-reordered-shuffled,0.9048,0.809553220120255,4650,4398,508,444,0.9679940878304027,0.9690416279727869
1196,drop-duplicates,hardest-appended,curriculum-reordered-shuffled,0.9048,0.809545650743549,4647,4401,505,447,0.9683692204172643,0.9696213736711254
1178,drop-duplicates,mispredictions-appended,curriculum-reordered-shuffled,0.9048,0.809553220120255,4650,4398,508,444,0.9679940878304027,0.9690416279727869
1139,easiest-appended,mispredictions-interleaved,corrects-appended,0.9048,0.8097431104488353,4571,4477,429,523,0.9681762322075115,0.9692385876694755
113,vinai-preprocessing,baseline,drop-duplicates,0.9048,0.8095684330301803,4655,4393,513,439,0.9675656163914574,0.9685338882219365
509,easiest-interleaved,curriculum-reordered-shuffled,curriculum-reordered,0.9048,0.8095909758508544,4661,4387,519,433,0.9675188798729023,0.9687247768986595
110,vinai-preprocessing,curriculum-strict,curriculum-reordered,0.9048,0.809545650743549,4647,4401,505,447,0.9680989248840111,0.9690899110175054
1325,corrects-appended,curriculum-reordered,smaller-batches-smaller-learning-rate,0.9048,0.809608989871536,4593,4455,451,501,0.9674418926625425,0.9686652588897114
949,no-easy,curriculum-strict-shuffled,curriculum-reordered,0.9048,0.809528856502867,4637,4411,495,457,0.9677989188498782,0.9688201905836569
184,vinai-preprocessing,curriculum-reordered-shuffled,only-corrects,0.9048,0.809545650743549,4647,4401,505,447,0.9679122389017174,0.9688713900514483
1127,easiest-appended,larger-batches-larger-learning-rate,curriculum-reordered,0.9048,0.8095250351320494,4627,4421,485,467,0.9678431944986636,0.9688601187564181
1287,mispredictions-interleaved,corrects-appended,curriculum-reordered,0.9048,0.8096682134529213,4582,4466,440,512,0.9679899863807864,0.9691378055512472
1125,easiest-appended,larger-batches-larger-learning-rate,curriculum-reordered-shuffled,0.9048,0.8095412536292379,4645,4403,503,449,0.967892691993058,0.9689222153257223
465,easiest-interleaved,drop-duplicates,curriculum-reordered-shuffled,0.9048,0.8095829417530004,4659,4389,517,435,0.9680559897090028,0.9691771704521442
98,vinai-preprocessing,no-easy,smaller-batches-smaller-learning-rate,0.9048,0.8095356314548041,4642,4406,500,452,0.9681126097207796,0.9690616912186127
1224,larger-batches-larger-learning-rate,mispredictions-interleaved,smaller-batches-smaller-learning-rate,0.9048,0.8095257716879797,4633,4415,491,461,0.9682094439458682,0.9693369506152445
555,tags-replacement,no-easy,curriculum-reordered-shuffled,0.9048,0.8096283129560427,4669,4379,527,425,0.9683690803677649,0.9693340180492226
452,easiest-interleaved,easiest-appended,curriculum-strict-shuffled,0.9048,0.8095592046137345,4606,4442,464,488,0.9678644019942408,0.9688924875787488
674,corrects-interleaved,no-easy,corrects-appended,0.9048,0.8096043830577547,4594,4454,452,500,0.9679547939423709,0.9688679038277158
50,vinai-preprocessing,tags-replacement,curriculum-reordered-shuffled,0.9048,0.8096283129560427,4669,4379,527,425,0.9682359133011972,0.9692541818109105
1294,mispredictions-interleaved,curriculum-reordered,smaller-batches-smaller-learning-rate,0.9048,0.8095257716879797,4633,4415,491,461,0.9678249080354961,0.969072364556274
1299,curriculum-strict-shuffled,hardest-appended,smaller-batches-smaller-learning-rate,0.9047,0.8093637785066012,4604,4443,463,490,0.9679552340979396,0.9691767353632704
1272,mispredictions-appended,only-corrects,smaller-batches-smaller-learning-rate,0.9047,0.809330604790853,4619,4428,478,475,0.9670490738246525,0.9680287780376411
315,hardest-interleaved,drop-duplicates,smaller-batches-smaller-learning-rate,0.9047,0.8093259459033574,4633,4414,492,461,0.9681469418551293,0.9692057694185866
69,vinai-preprocessing,corrects-interleaved,smaller-batches-smaller-learning-rate,0.9047,0.809326024673837,4624,4423,483,470,0.9677347561722216,0.9687825144682941
294,hardest-interleaved,baseline,smaller-batches-smaller-learning-rate,0.9047,0.8093259459033574,4633,4414,492,461,0.9681469418551293,0.9692057694185866
1280,mispredictions-interleaved,hardest-appended,corrects-appended,0.9047,0.8096031282873889,4563,4484,422,531,0.9683601171998231,0.9695968545526381
152,vinai-preprocessing,larger-batches-larger-learning-rate,curriculum-reordered,0.9047,0.8093491578223606,4648,4399,507,446,0.9681837348592487,0.9691947267099152
731,corrects-interleaved,larger-batches-larger-learning-rate,only-corrects,0.9047,0.809327467961317,4622,4425,481,472,0.9674174840355575,0.9683407596758633
